symbol,profile,year,n_bars,max_risk_total_pct,n_range_trades,n_trend_trades,n_div_a_trades,n_div_b_trades,exceeds_5pct_global_cap,exceeds_2pct_diversification_cap,max_bar_index,max_date,max_risk_range_pct,max_risk_trend_pct,max_risk_div_a_pct,max_risk_div_b_pct,max_n_range_tranches_open,max_n_range_reverses_open,max_trend_campaign_open,max_trend_reverse_open,max_pattern_a_open,max_pattern_b_open,max_n_systems_open
SOLUSDT,MODERE,2025,2190,7.0,45,1,44,11,True,True,10949,2025-09-13T00:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,MODERE,2026,1087,1.0,0,0,6,0,False,False,11988,2026-03-05T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,AGRESSIF,2020,653,1.0,0,0,5,0,False,False,384,2020-11-17T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,AGRESSIF,2021,2190,10.0,37,1,57,12,True,True,2046,2021-08-21T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,AGRESSIF,2022,2190,1.0,0,0,9,0,False,False,3387,2022-04-01T16:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,AGRESSIF,2023,2190,11.0,32,2,42,4,True,True,7114,2023-12-13T20:00:00.000000,9.0,0.0,1.0,1.0,3,0,False,False,True,True,3
SOLUSDT,AGRESSIF,2024,2196,10.0,75,4,35,21,True,True,7288,2024-01-11T20:00:00.000000,9.0,0.0,0.0,1.0,3,0,False,False,False,True,2
SOLUSDT,AGRESSIF,2025,2190,10.0,45,1,44,11,True,True,10789,2025-08-17T08:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,AGRESSIF,2026,1087,1.0,0,0,6,0,False,False,11988,2026-03-05T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,TRES_AGRESSIF,2020,653,1.0,0,0,5,0,False,False,384,2020-11-17T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,TRES_AGRESSIF,2021,2190,16.0,38,1,57,12,True,True,2046,2021-08-21T04:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,TRES_AGRESSIF,2022,2190,1.0,0,0,9,0,False,False,3387,2022-04-01T16:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,TRES_AGRESSIF,2023,2190,17.0,38,2,42,4,True,True,7114,2023-12-13T20:00:00.000000,15.0,0.0,1.0,1.0,3,0,False,False,True,True,3
SOLUSDT,TRES_AGRESSIF,2024,2196,16.0,75,4,35,21,True,True,7288,2024-01-11T20:00:00.000000,15.0,0.0,0.0,1.0,3,0,False,False,False,True,2
SOLUSDT,TRES_AGRESSIF,2025,2190,16.0,46,1,44,11,True,True,10949,2025-09-13T00:00:00.000000,15.0,0.0,1.0,0.0,3,1,False,False,True,False,2
SOLUSDT,TRES_AGRESSIF,2026,1087,1.0,0,0,6,0,False,False,11988,2026-03-05T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
