asset,profile,entry,val_px,conf_px_h4,conf_px_ut2,val_i,conf_h4_i,conf_ut2_i
BTCUSDT,FAIBLE,71135.1,74658.3,82223.1,129573.3,,,
BTCUSDT,FAIBLE,68483.9,75479.4,78077.9,126922.09999999999,,,
BTCUSDT,FAIBLE,68200.0,75195.5,77794.0,126638.2,,,
BTCUSDT,FAIBLE,67985.1,73630.1,77579.1,126423.3,,,
BTCUSDT,FAIBLE,68094.0,73543.0,77688.0,126532.2,,,
BTCUSDT,FAIBLE,71678.3,79468.7,80068.7,130116.5,,,
BTCUSDT,FAIBLE,71034.3,76378.5,79424.7,129472.5,,,
BTCUSDT,FAIBLE,70825.9,76170.09999999999,79216.29999999999,129264.09999999999,,,
BTCUSDT,FAIBLE,63416.5,67178.5,72479.1,121854.7,,,
BTCUSDT,FAIBLE,61833.9,68034.70000000001,69145.9,118617.1,,,
BTCUSDT,FAIBLE,65385.3,73018.3,73018.3,119745.1,,,
BTCUSDT,FAIBLE,65994.7,75048.4,75048.4,120354.5,,,
BTCUSDT,FAIBLE,67872.3,75180.5,77372.3,122232.1,,,
BTCUSDT,FAIBLE,67401.5,73781.5,76901.5,121761.29999999999,,,
BTCUSDT,FAIBLE,67955.1,74335.1,77455.1,122314.9,,,
BTCUSDT,FAIBLE,68710.0,75439.6,78680.7,123069.79999999999,,,
BTCUSDT,FAIBLE,68582.3,75162.3,78682.3,122942.1,,,
BTCUSDT,FAIBLE,68206.9,72435.2,78306.9,122566.69999999998,,,
BTCUSDT,FAIBLE,68279.7,72623.4,78945.7,122639.5,,,
BTCUSDT,FAIBLE,67261.9,70882.09999999999,74807.9,121621.69999999998,,,
BTCUSDT,FAIBLE,67759.9,71380.09999999999,75305.9,122119.69999999998,,,
BTCUSDT,FAIBLE,67816.8,71437.0,75362.8,122176.6,,,
BTCUSDT,FAIBLE,70927.4,76977.2,78781.59999999999,125287.19999999998,,,
BTCUSDT,FAIBLE,72374.9,79307.7,80093.2,126734.69999999998,,,
BTCUSDT,FAIBLE,72534.6,80637.40000000001,81422.90000000001,126894.4,,,
BTCUSDT,FAIBLE,72349.0,79594.9,80786.7,126708.79999999999,,,
BTCUSDT,FAIBLE,72417.8,79369.8,80855.5,126777.6,,,
BTCUSDT,FAIBLE,70638.6,77538.1,79076.3,124998.4,,,
BTCUSDT,FAIBLE,70024.7,76589.7,78462.4,124384.5,,,
BTCUSDT,FAIBLE,67845.6,73625.5,76283.3,122205.4,,,
BTCUSDT,FAIBLE,78858.2,90152.8,92033.0,133218.0,,,
BTCUSDT,FAIBLE,79926.7,91462.59999999999,93396.7,134286.5,,,
BTCUSDT,FAIBLE,79735.1,91285.1,93174.6,134094.9,,,
BTCUSDT,FAIBLE,91286.9,104241.0,117898.0,153465.1,,,
BTCUSDT,FAIBLE,91173.3,103542.8,117784.40000000001,153351.5,,,
BTCUSDT,FAIBLE,91795.9,98503.0,118407.0,165695.4,,,
BTCUSDT,FAIBLE,92407.8,99114.90000000001,119018.90000000001,166307.3,,,
BTCUSDT,FAIBLE,91696.1,97682.1,118307.20000000001,165595.6,11405.0,,
BTCUSDT,FAIBLE,92455.5,98626.5,119066.6,166355.0,11409.0,,
BTCUSDT,FAIBLE,93271.6,100543.5,120447.5,167171.1,,,
BTCUSDT,FAIBLE,98470.8,108708.7,122510.7,172370.3,,,
BTCUSDT,FAIBLE,98076.3,106208.90000000001,111022.3,178214.7,,,
BTCUSDT,FAIBLE,102292.1,113317.5,116056.1,180148.1,,,
BTCUSDT,FAIBLE,104460.5,114185.1,119635.1,184509.9,,,
BTCUSDT,FAIBLE,120733.2,134259.7,137523.2,210518.8,,,
BTCUSDT,FAIBLE,122731.0,137602.0,141021.0,212516.6,,,
BTCUSDT,FAIBLE,116777.1,129644.90000000001,135067.1,206562.7,,,
BTCUSDT,FAIBLE,119176.5,126798.4,135276.5,208962.1,,,
BTCUSDT,FAIBLE,119356.5,126978.4,135456.5,209142.1,,,
BTCUSDT,FAIBLE,118669.4,123570.9,134569.4,208455.0,,,
BTCUSDT,FAIBLE,118131.2,122893.7,134031.2,207916.8,,,
BTCUSDT,FAIBLE,118374.8,122956.2,134274.8,207658.0,,,
BTCUSDT,FAIBLE,119352.3,123933.7,135252.3,208635.5,,,
BTCUSDT,FAIBLE,118902.0,123337.1,131769.8,208185.2,,,
BTCUSDT,FAIBLE,118209.1,123841.90000000001,126841.8,207492.3,,,
BTCUSDT,FAIBLE,118873.1,124017.8,127505.8,207726.8,,,
BTCUSDT,FAIBLE,115366.2,119202.2,123816.3,204219.9,,,
BTCUSDT,FAIBLE,116469.1,121401.70000000001,124431.1,205322.8,,,
BTCUSDT,FAIBLE,120897.3,127397.40000000001,131497.3,208586.6,,,
BTCUSDT,FAIBLE,118918.1,126459.70000000001,131613.7,206607.40000000002,,,
BTCUSDT,FAIBLE,116897.5,122771.0,129817.20000000001,204743.1,,,
BTCUSDT,MODERE,9493.63,9928.63,9992.609999999999,,,,
BTCUSDT,MODERE,9507.99,9942.99,10006.97,,,,
BTCUSDT,MODERE,9527.39,10019.31,10083.289999999999,,,,
BTCUSDT,MODERE,9554.76,10112.4,10189.06,,,,
BTCUSDT,MODERE,9583.49,10130.8,10217.789999999999,,,,
BTCUSDT,MODERE,9584.63,10131.939999999999,10218.929999999998,,,,
BTCUSDT,MODERE,9577.05,10112.369999999999,10211.349999999999,,,,
BTCUSDT,MODERE,9674.11,10239.11,10340.09,,1935.0,1938.0,
BTCUSDT,MODERE,9701.54,10284.02,10392.62,,,,
BTCUSDT,MODERE,9719.98,10187.98,10415.96,,1935.0,1938.0,
BTCUSDT,MODERE,11355.05,12993.05,13756.05,,,,
BTCUSDT,MODERE,11666.32,13302.38,14334.47,,,,
BTCUSDT,MODERE,11790.92,13097.11,14569.11,,,,
BTCUSDT,MODERE,12026.41,13484.4,14956.4,,,,
BTCUSDT,MODERE,11227.07,12891.32,14250.31,,,,
BTCUSDT,MODERE,11127.9,12792.15,14139.15,,,,
BTCUSDT,MODERE,11248.83,12913.08,14229.08,,,,
BTCUSDT,MODERE,11286.62,12950.87,14168.87,,,,
BTCUSDT,MODERE,11444.46,13108.71,14326.71,,,,
BTCUSDT,MODERE,12041.88,12909.25,14531.13,,,,
BTCUSDT,MODERE,11790.0,12763.0,13454.25,,,,
BTCUSDT,MODERE,11733.78,12706.78,13398.03,,,,
BTCUSDT,MODERE,11808.99,12781.99,13473.24,,,,
BTCUSDT,MODERE,12443.99,13661.99,14010.99,,,,
BTCUSDT,MODERE,12350.16,13577.58,13926.58,,,,
BTCUSDT,MODERE,11762.14,12299.58,13134.56,,,,
BTCUSDT,MODERE,11753.29,12256.230000000001,13125.710000000001,,,,
BTCUSDT,MODERE,11616.24,12190.92,12985.66,,,,
BTCUSDT,MODERE,11934.24,12759.62,13303.66,,,,
BTCUSDT,MODERE,10274.95,12457.37,12457.37,,,,
BTCUSDT,MODERE,13448.85,14244.36,15784.36,,,,
BTCUSDT,MODERE,13605.16,14540.73,16080.73,,,,
BTCUSDT,MODERE,13650.01,14679.01,16219.01,,,,
BTCUSDT,MODERE,13043.02,14191.02,15731.02,,,,
BTCUSDT,MODERE,13549.12,14683.12,16237.12,,,,
BTCUSDT,MODERE,13565.01,14699.01,16213.01,,,,
BTCUSDT,MODERE,13680.13,14944.13,16570.129999999997,,,,
BTCUSDT,MODERE,13790.02,15054.02,16629.6,,,,
BTCUSDT,MODERE,13732.13,14996.13,16474.129999999997,,,,
BTCUSDT,MODERE,13712.05,14752.05,16194.039999999999,,,,
BTCUSDT,MODERE,14016.55,15056.55,16483.55,,,,
BTCUSDT,MODERE,14097.25,15182.25,16526.25,,,,
BTCUSDT,MODERE,15807.89,18100.41,19063.09,,,,
BTCUSDT,MODERE,15298.13,16932.33,18406.33,,,,
BTCUSDT,MODERE,15404.54,16923.54,18512.74,,,,
BTCUSDT,MODERE,15576.66,17095.66,18684.86,,,,
BTCUSDT,MODERE,15671.21,17190.21,18779.41,,,,
BTCUSDT,MODERE,16282.0,17939.99,19661.99,,,,
BTCUSDT,MODERE,16085.39,17743.38,19425.27,,,,
BTCUSDT,MODERE,16231.27,17273.56,19516.260000000002,,2616.0,2695.0,
BTCUSDT,MODERE,16445.0,17487.29,19729.99,,2617.0,2788.0,
BTCUSDT,MODERE,16776.69,18185.989999999998,20428.69,,2621.0,2789.0,
BTCUSDT,MODERE,20737.75,23714.74,24073.75,,,,
BTCUSDT,MODERE,21346.81,24934.600000000002,25391.81,,,,
BTCUSDT,MODERE,21768.72,25740.72,26435.72,,,,
BTCUSDT,MODERE,23084.0,28002.22,29417.04,,,,
BTCUSDT,MODERE,23569.03,28417.43,29902.07,,,,
BTCUSDT,MODERE,23826.74,26282.74,30647.74,,,,
BTCUSDT,MODERE,23709.99,26165.99,30530.99,,,,
BTCUSDT,MODERE,23471.54,25927.54,30292.54,,,,
BTCUSDT,MODERE,23738.75,26194.75,30559.75,,2852.0,2891.0,
BTCUSDT,MODERE,23490.14,25946.14,30311.14,,2852.0,2891.0,
BTCUSDT,MODERE,24605.22,27403.22,31768.22,,2854.0,2892.0,
BTCUSDT,MODERE,34861.71,43010.37,48237.850000000006,,,,
BTCUSDT,MODERE,36909.86,46905.28,52132.759999999995,,,,
BTCUSDT,MODERE,37919.72,48174.72,53402.2,,,,
BTCUSDT,MODERE,39050.0,50300.0,55527.479999999996,,,,
BTCUSDT,MODERE,41056.69,52342.200000000004,58630.200000000004,,,,
BTCUSDT,MODERE,36035.42,47127.299999999996,51355.82,,,,
BTCUSDT,MODERE,39923.48,50887.600000000006,54248.990000000005,,,,
BTCUSDT,MODERE,36599.7,46341.09,50925.21,,,,
BTCUSDT,MODERE,37750.0,47491.39,52075.51,,,,
BTCUSDT,MODERE,36421.89,45169.63,50747.4,,,,
BTCUSDT,MODERE,36690.0,43015.89,51015.51,,,,
BTCUSDT,MODERE,37226.0,43551.89,51551.51,,,,
BTCUSDT,MODERE,37387.98,43713.87,49613.490000000005,,,,
BTCUSDT,MODERE,45930.82,54719.82,60246.42,107295.12,,,
BTCUSDT,MODERE,45871.79,55024.8,59977.25,107236.09,,,
BTCUSDT,MODERE,45986.76,55178.76,59895.36,107351.06,,,
BTCUSDT,MODERE,46448.0,51039.57,55957.0,107812.3,,,
BTCUSDT,MODERE,44764.32,49169.12,54273.32,106128.62,,,
BTCUSDT,MODERE,45162.37,49177.37,54671.37,106526.67000000001,,,
BTCUSDT,MODERE,47792.52,52988.21,58482.21,109156.82,,,
BTCUSDT,MODERE,47639.8,52029.79000000001,58329.490000000005,109004.1,,,
BTCUSDT,MODERE,47044.67,51544.67,58053.67,108408.97,,,
BTCUSDT,MODERE,48985.5,54547.12,58203.49,110349.8,,,
BTCUSDT,MODERE,48846.11,54740.73,56283.91,110210.41,,,
BTCUSDT,MODERE,49212.4,55107.020000000004,56650.200000000004,110576.70000000001,,,
BTCUSDT,MODERE,48550.0,54444.62,55987.8,109914.3,,,
BTCUSDT,MODERE,49082.13,53402.13,55743.75,110446.43,,,
